"","hgnc_symbol","entrezgene","chromosome_name","start_position","end_position"
"112","MC2R",4158,"18",13882043,13915706
"113","LACTB",114294,"15",63413999,63434260
"114","BLM",641,"15",91260558,91358859
"115","MRPL39",54148,"21",26957968,26979829
"116","SCRT1",83482,"HG243_PATCH",145387965,145391184
"117","ZNF519",162655,"18",14057456,14132489
"118","CTSZ",1522,"20",57570240,57582302
"119","",340393,"HG243_PATCH",145407122,145410512
"120","RTFDC1",51507,"20",55043647,55093943
"121","SPINT1",6692,"15",41136216,41150405
"122","EBF4",57593,"20",2673524,2740753
"123","TUBB1",81027,"20",57594309,57601709
"124","FGF7",2252,"15",49715293,49780972
"125","POTEC",388468,"18",14507338,14543584
"126","DNTTIP1",116092,"20",44420576,44440066
"127","TCEB3CL2",100506888,"18",44542731,44544607
"128","JAM2",58494,"21",27011584,27089874
"129","SLC52A2",79581,"HG243_PATCH",145409038,145416175
"130","ATP5E",514,"20",57600522,57607437
"131","TCEB3CL",728929,"18",44548658,44550534
"132","RPS27L",51065,"15",63418071,63450220
"133","TCEB3C",101930171,"18",44554573,44556449
"134","TCEB3C",101930165,"18",44554573,44556449
"135","TCEB3C",101929858,"18",44554573,44556449
"136","TCEB3C",101060464,"18",44554573,44556449
"137","TCEB3C",101060457,"18",44554573,44556449
"138","TCEB3C",162699,"18",44554573,44556449
"139","TCEB3B",51224,"18",44558943,44561988
"140","FOXD4",2298,"9",116237,118417
"141","RAB8B",51762,"15",63481668,63559981
"142","UBE2C",11065,"20",44441215,44445596
"143","GCNT7",140687,"20",55066548,55100981
"144","SLMO2",51012,"20",57608200,57617964
"145","FBXL6",26233,"HG243_PATCH",145410334,145414279
"146","HDHD2",84064,"18",44633774,44676891
"147","ATP5J",522,"21",27088815,27107984
"148","ZBTB26",57684,"9",125677845,125693779
"149","FAM209A",388799,"20",55092243,55101198
"150","FAM209A",200232,"20",55092243,55101198
"151","DTWD1",56986,"15",49913177,49937333
"152","CPXM1",56265,"20",2774715,2781283
"153","FAM209B",388799,"20",55108302,55111576
"154","RHOV",171177,"15",41164412,41166487
"155","FURIN",5045,"15",91411822,91426688
"156","NIPA2",81614,"15",23004684,23034427
"157","",51124,"18",44661027,44702652
"158","ADCK5",203054,"HG243_PATCH",145428004,145448145
"159","GABPA",2551,"21",27106881,27144771
"160","TFAP2C",7022,"20",55204358,55214339
"161","ZNF831",128611,"20",57766075,57834168
"162","TNNC2",7125,"20",44451853,44462384
"163","VPS18",57617,"15",41186628,41196173
"164","APH1B",83464,"15",63568217,63601325
"165","RABGAP1",23637,"9",125703112,125867145
"166","IER3IP1",51124,"18",44681413,44702745
"167","EDN3",1908,"20",57875482,57901047
"168","DLL4",54567,"15",41221538,41231237
"169","TMEM239",100288797,"20",2795614,2800930
"170","",100288797,"20",2795614,2798712
"171","ANKRD30B",374860,"18",14728271,14852737
"172","BMP7",655,"20",55743804,55841685
"173","SKOR2",652991,"18",44746293,44775554
"174","C20orf141",128653,"20",2795633,2796479
"175","CPSF1",102466749,"HG243_PATCH",145448132,145464191
"176","CPSF1",100302196,"HG243_PATCH",145448132,145464191
"177","CPSF1",100126351,"HG243_PATCH",145448132,145464191
"178","CPSF1",29894,"HG243_PATCH",145448132,145464191
"179","GPR21",2844,"9",125796806,125797975
"180","CBWD1",644019,"9",121041,188979
"181","CBWD1",445571,"9",121041,188979
"182","CBWD1",220869,"9",121041,188979
"183","CBWD1",150472,"9",121041,188979
"184","CBWD1",55871,"9",121041,188979
"185","PCED1A",64773,"20",2815960,2821836
"186","SMAD2",4087,"18",45357922,45457515
"187","ATP8B4",79895,"15",50150435,50475014
"188","STRBP",55342,"9",125871779,126030855
"189","SLC39A4",55630,"HG243_PATCH",145464645,145471798
"190","FES",2242,"15",91426925,91439006
"191","NIPA1",123606,"15",23043277,23100005
"192","SPO11",23626,"20",55904815,55919050
"193","CA12",771,"15",63613577,63674360
"194","PHACTR3",116154,"20",58152564,58422766
"195","C9orf66",157983,"9",213108,215893
"196","ROCK1",6093,"18",18526867,18691812
"197","CHAC1",79094,"15",41245160,41248710
"198","VPS28",51160,"HG243_PATCH",145478520,145483451
"199","SNX21",90203,"20",44462449,44471914
"200","",4796,"HG243_PATCH",145483685,145499347
"201","CRB2",286204,"9",126118449,126142603
"202","RAE1",8480,"20",55926066,55954267
"203","VPS16",64601,"20",2821349,2847378
"204","GOLGA8I",101059918,"15",23255242,23268823
"205","GOLGA8I",728498,"15",23255242,23268823
"206","GOLGA8I",728047,"15",23255242,23268823
"207","GOLGA8I",653720,"15",23255242,23268823
"208","GOLGA8I",653125,"15",23255242,23268823
"209","GOLGA8I",653073,"15",23255242,23268823
"210","GOLGA8I",643699,"15",23255242,23268823
"211","GOLGA8I",283796,"15",23255242,23268823
"212","IQSEC3",100996825,"HG858_PATCH",116765,228460
"213","IQSEC3",440073,"HG858_PATCH",116765,228460
"214","APP",351,"21",27252861,27543446
"215","ACOT8",10005,"20",44470360,44486045
"216","INO80",54617,"15",41271078,41408552
"217","SLC27A2",11001,"15",50474393,50528592
"218","TUBA3C",113457,"13",19747910,19755992
"219","TUBA3C",7278,"13",19747910,19755992
"220","",NA,"13",19756173,19761496
"221","MTRNR2L3",100462983,"20",55933496,55934878
"222","RBM38",55544,"20",55966463,55984389
"223","DOCK8",81704,"9",214854,465259
"224","DENND1A",57706,"9",126141933,126692431
"225","GREB1L",80000,"18",18822203,19105378
"226","CYYR1",116159,"21",27838528,27945603
"227","SYCP2",10388,"20",58438618,58508710
"228","HDC",3067,"15",50534144,50558223
"229","TPTE2",93492,"13",19997017,20110903
"230","USP3",9960,"15",63796793,63886839
"231","ZBTB7C",201501,"18",45553044,45937123
"232","ADAMTS1",9510,"21",28208066,28217728
"233","LHX2",9355,"9",126763949,126795580
"234","",NA,"15",23405069,23414193
"235","ADAMTS5",11096,"21",28290231,28338832
"236","GOLGA8S",653061,"15",23599895,23612378
"237","MPHOSPH8",54737,"13",20207788,20247599
"238","PRRC2A",7916,"HSCHR6_MHC_SSTO",31578395,31595492
"239","EXD1",161829,"15",41474923,41522941
"240","N6AMT1",29104,"21",30244513,30257693
"241","MAN2A2",4122,"15",91445448,91465814
"242","KANK1",23189,"9",470291,746105
"243","PSPC1",55269,"13",20248896,20357142
"244","GOLGA6L2",283685,"15",23684645,23692381
"245","",NA,"18",45778672,45779208
"246","",NA,"13",20268547,20269240
"247","NEK6",10783,"9",127019885,127115586
"248","DMRT1",1761,"9",841690,969090
"249","GABPB1",2553,"15",50569389,50647605
"250","MKRN3",7681,"15",23810454,23873064
"251","CTIF",9811,"18",46065417,46389588
"252","DMRT3",58524,"9",976964,991731
"253","ZMYM5",9205,"13",20397622,20437776
"254","IGLL1",3543,"22",23915312,23922495
"255","LTN1",26046,"21",30300466,30365270
"256","MAGEL2",54551,"15",23888691,23891175
"257","NDN",4692,"15",23930565,23932450
"258","ZSWIM3",140831,"20",44486256,44507761
"259","PSMB7",5695,"9",127115745,127177723
"260","NPAP1",23742,"15",24920541,24928593
"261","DMRT2",10655,"9",1050354,1057552
"262","ZSWIM1",90204,"20",44509866,44513905
"263","CTCFL",140690,"20",56071035,56100708
"264","CHP1",11261,"15",41523037,41574043
"265","HYAL2",8692,"HG325_PATCH",50355222,50360338
"266","SERINC2",347735,"HG989_PATCH",31882412,31907525
"267","SPATA25",128497,"20",44515128,44516274
"268","NEURL2",140825,"20",44517264,44519926
"269","C5orf30",90355,"HG1063_PATCH",102594406,102614364
"270","GPR144",NA,"9",127213423,127239379
"271","",389831,"GL000195.1",43717,74342
"272","OIP5",11339,"15",41601466,41624819
"273","C22orf43",51233,"22",23950639,23974508
"274","RWDD2B",10069,"21",30376705,30391699
"275","LSM14A",26065,"HSCHR19_1_CTG3_1",34663352,34720227
"276","NR5A1",2516,"9",127243516,127269709
"277","SMAD7",4092,"18",46446223,46477081
"278","FAM217B",63939,"20",58508819,58523735
"279","PTPRA",5786,"20",2844830,3019722
"280","TUSC2",11334,"HG325_PATCH",50357459,50365683
"281","PPP1R3D",5509,"20",58511894,58515352
"282","BRD2",6046,"HSCHR6_MHC_MCF",32969905,32980956
"283","SNRPN",8926,"15",25068794,25223870
"284","SNRPN",6638,"15",25068794,25223870
"285","MYOM2",9172,"HG19_PATCH",1993155,2113475
"286","NR6A1",2649,"9",127279554,127533589
"287","CDH26",60437,"20",58533471,58609066
"288","RGL4",266747,"22",24030323,24041363
"289","CTSA",5476,"20",44518783,44527459
"290","OLFML2A",169611,"9",127539437,127577164
"291","USP16",10600,"21",30396950,30426809
"292","ESCO1",114799,"18",19109242,19180845
"293","RBFOX3",146713,"HG748_PATCH",77085427,77512230
"294","ZMYM2",7750,"13",20532810,20665968
"295","NUSAP1",51203,"15",41624892,41673248
"296","FBXL22",283807,"15",63889552,63894627
"297","WDR38",401551,"9",127615755,127620160
"298","ENPP7",339221,"HG748_PATCH",77727001,77738304
"299","SMARCA2",6595,"9",2015342,2193624
"300","RPL35",11224,"9",127620159,127624260
"301","HLA-DOA",3111,"HSCHR6_MHC_MCF",33005421,33010855
"302","RASSF1",11186,"HG325_PATCH",50367220,50378412
"303","CBX2",84733,"HG748_PATCH",77774214,77784065
"304","ARPC5L",81873,"9",127624409,127640003
"305","C20orf197",284756,"20",58630980,58648008
"306","CBX8",57332,"HG748_PATCH",77788214,77797765
"307","ZNF70",7621,"22",24083769,24093279
"308","SNRPD1",6632,"18",19192228,19210417
"309","VPREB3",29802,"22",24094930,24096655
"310","USP8",9101,"15",50716577,50793280
"311","CDH4",1002,"20",59827482,60515673
"312","ZNF716",441234,"HG14_PATCH",57517884,57541253
"313","GOLGA1",2800,"9",127640646,127710771
"314","C22orf15",150248,"22",24105208,24108048
"315","PPP1R3B",79660,"8",8993765,9009084
"316","",51802,"HSCHR4_1_CTG12",156750881,156787425
"317","HERC1",8925,"15",63900817,64126141
"318","",NA,"8",9009252,9025646
"319","ABHD3",171586,"18",19230858,19284766
"320","TDO2",6999,"HSCHR4_1_CTG12",156775890,156841558
"321","HLA-DPA1",3113,"HSCHR6_MHC_MCF",33065822,33082016
"322","CHCHD10",400916,"22",24108021,24110630
"323","PCK1",5105,"20",56136136,56141513
"324","GJA3",2700,"13",20712394,20735188
"325","CTSO",1519,"HSCHR4_1_CTG12",156845270,156875063
"326","DYM",54808,"18",46570039,46987717
"327","GJB2",2706,"13",20761609,20767037
"328","UNC45A",55898,"15",91473410,91497323
"329","PIN4",5303,"X",71401203,71522776
"330","MMP11",4320,"22",24110413,24126503
"331","",NA,"20",60292562,60294804
"332","PDE3B",5140,"HG873_PATCH",14665269,14892350
"333","GJB6",10804,"13",20796110,20806534
"334","SCAI",286205,"9",127704887,127905785
"335","CCT8",10694,"21",30428126,30446118
"336","",NA,"22",24124467,24126145
"337","",8926,"15",25200133,25223729
"338","",6638,"15",25200133,25223729
"339","TNKS",8658,"8",9413424,9639856
"340","TAF4",6874,"20",60528525,60640866
"341","VLDLR",7436,"9",2621834,2660053
"342","ERCC6L",54821,"X",71424510,71458897
"343","BAHCC1",NA,"HG271_PATCH",79369275,79440126
"344","CRYL1",51084,"13",20977806,21099996
"345","DAPK2",23604,"15",64199235,64364232
"346","NDUFAF1",51103,"15",41679551,41694717
"347","HLA-DPB1",3115,"HSCHR6_MHC_MCF",33077161,33088426
"348","SMARCB1",6598,"22",24129150,24176703
"349","RPS4X",6191,"X",71475529,71497150
"350","C18orf32",497661,"18",47008028,47013622
"351","CYP2R1",120227,"HG873_PATCH",14899553,14913798
"352","GNRH2",2797,"20",3024268,3026393
"353","PPP6C",5537,"9",127908852,127952218
"354","RTF1",23168,"15",41700606,41775761
"355","BAG6",7917,"HSCHR6_MHC_SSTO",31596744,31610423
"356","MIB1",57534,"18",19284918,19450918
"357","ZBP1",81030,"20",56178902,56195632
"358","FAM96A",84191,"15",64364758,64386217
"359","DERL3",91319,"22",24176690,24181315
"360","KCNV2",169522,"9",2717502,2730037
"361","RPL17-C18orf32",100526842,"18",47008051,47017956
"362","RPL17-C18orf32",6139,"18",47008051,47017956
"363","MRPS26",64949,"20",3026591,3028900
"364","OXT",5020,"20",3052266,3053163
"365","LSM14B",149986,"20",60697517,60710434
"366","USP50",373509,"15",50792759,50838905
"367","AVP",551,"20",3063202,3065370
"368","RABEPK",10244,"9",127962821,127996437
"369","PPAPDC1B",84513,"8",38120648,38126761
"370","ACTG1",71,"HG271_PATCH",79483771,79497647
"371","ACTG1",60,"HG271_PATCH",79483771,79497647
"372","SLC35A2",7355,"X",48760459,48769235
"373","KIAA0020",9933,"9",2720469,2844241
"374","IFT88",8100,"13",21140585,21265503
"375","",NA,"HSCHR6_MHC_MCF",33078411,33080790
"376","HSPA5",3309,"9",127997132,128003609
"377","MAP3K7CL",56911,"21",30449792,30548210
"378","SNURF",8926,"15",25200181,25245423
"379","PMEPA1",56937,"20",56223448,56286592
"380","MSRA",4482,"8",9911778,10286401
"381","IL17D",53342,"13",21276266,21297237
"382","SNX1",6642,"15",64386322,64438289
"383","SLC2A11",66035,"22",24198890,24228496
"384","TRPM7",54822,"15",50844670,50979012
"385","TAPT1",202018,"4",16162128,16229033
"386","N6AMT2",221143,"13",21302870,21348097
"387","RPL17",100124516,"18",47014851,47018906
"388","RPL17",26791,"18",47014851,47018906
"389","RPL17",26790,"18",47014851,47018906
"390","RPL17",6139,"18",47014851,47018906
"391","PIM2",11040,"X",48770459,48776301
"392","PSMA7",5688,"20",60711791,60718496
"393","UBE3A",7337,"15",25582381,25684128
"394","C8orf59",401466,"8",86126311,86132650
"395","BACH1",100379661,"21",30566392,31003071
"396","BACH1",571,"21",30566392,31003071
"397","C20orf85",128602,"20",56725960,56736206
"398","RFX3",5991,"9",3218297,3526004
"399","PLTP",5360,"20",44527399,44540794
"400","ITPKA",3706,"15",41785591,41795747
"401","ANKRD60",140731,"20",56793551,56803709
"402","XPO4",64328,"13",21351469,21477187
"403","",NA,"18",19668021,19678741
"404","NKRF",55922,"X",118722300,118739858
"405","UBOX5",22888,"20",3088219,3140842
"406","",NA,"9",3452305,3469181
"407","OTUD5",55593,"X",48779305,48815648
"408","AGO2",27161,"8",141541264,141645718
"409","",NA,"22",24204375,24237410
"410","CYHR1",50626,"8",145674965,145691060
"411","CITED1",4435,"X",71521488,71527037
"412","MIF",4282,"22",24236191,24237414
"413","GATA6",2627,"18",19749404,19782491
"414","FASTKD5",60493,"20",3127165,3140543
"415","",NA,"22",24236613,24241117
"416","PPP4R1L",NA,"20",56806188,56884495
"417","LTK",4058,"15",41795836,41806085
"418","GSTT2B",653689,"22",24299601,24303373
"419","GSTT2B",2953,"22",24299601,24303373
"420","",9762,"20",3143263,3154192
"421","CTAGE1",64693,"18",19993564,19997878
"422","GLIS3",169792,"9",3824127,4348392
"423","CALCA",796,"HG873_PATCH",14988217,14993851
"424","LATS2",26524,"13",21547171,21635686
"425","DDTL",100037417,"22",24309089,24314721
"426","PRSS55",203074,"8",10383056,10411676
"427","DDRGK1",65992,"20",3170996,3185331
"428","DDT",100037417,"22",24313554,24322660
"429","DDT",1652,"22",24313554,24322660
"430","SS18L1",26039,"20",60718822,60757540
"431","SAP18",10284,"13",21714653,21723221
"432","GC",2638,"4",72607410,72669758
"433","",NA,"GL000194.1",53590,56132
"434","RP1L1",94137,"8",10463859,10569697
"435","",NA,"GL000213.1",68442,70280
"436","",100288966,"GL000213.1",108007,139339
"437","",388468,"GL000213.1",108007,139339
"438","",339010,"GL000213.1",108007,139339
"439","GSTT2",2953,"22",24322339,24326106
"440","C8orf74",203076,"8",10530147,10558103
"441","GRIK1",2897,"21",30909254,31312351
"442","ITPA",3704,"20",3189514,3204516
"443","GAPVD1",26130,"9",128024073,128129486
"444","LIPG",9388,"18",47087069,47119272
"445","SKA3",221150,"13",21727734,21750741
"446","SOX7",83595,"8",10581278,10697357
"447","SLC1A1",6505,"9",4490444,4587469
"448","RAB33B",83452,"4",140374386,140397763
"449","GSTT1",2952,"22",24376133,24384680
"450","",NA,"8",10582909,10697357
"451","RBBP8",5932,"18",20378224,20606451
"452","SPPL2A",84888,"15",50999506,51058005
"453","HDDC3",374659,"15",91474148,91475799
"454","RAB22A",57403,"20",56884752,56942563
"455","APOM",55937,"HSCHR6_MHC_SSTO",31610134,31615927
"456","WHSC1L1",54904,"8",38127215,38239790
"457","SNX22",79856,"15",64443914,64449680
"458","GRIK1-AS2",NA,"21",30968360,31003067
"459","CA13",100507258,"8",86132816,86196302
"460","CA13",377677,"8",86132816,86196302
"461","CLDN17",26285,"21",31538241,31538971
"462","MRP63",78988,"13",21750784,21753223
"463","PINX1",54984,"8",10622473,10697394
"464","CLDN8",9073,"21",31586324,31588391
"465","KRTAP24-1",643803,"21",31653629,31655276
"466","KIFC2",90990,"8",145691426,145699585
"467","KRTAP25-1",100131902,"21",31661463,31661832
"468","RCCD1",91433,"15",91498100,91506349
"469","KRTAP26-1",388818,"21",31691452,31692607
"470","PPIB",5479,"15",64448011,64455404
"471","KRTAP27-1",643812,"21",31709331,31710012
"472","KRTAP23-1",337963,"21",31720717,31720924
"473","KRTAP13-2",337959,"21",31743709,31744557
"474","SETD7",80854,"4",140417095,140527853
"475","C6orf47",57827,"HSCHR6_MHC_SSTO",31616015,31618489
"476","KRTAP13-1",140258,"21",31768392,31769136
"477","KRTAP13-3",337960,"21",31797583,31798286
"478","XKR6",286046,"8",10753555,11058875
"479","KRTAP13-4",284827,"21",31802572,31803216
"480","KRTAP15-1",254950,"21",31812597,31813070
"481","TMEM154",201799,"4",153539784,153601317
"482","ZDHHC20",253832,"13",21950263,22033509
"483","KRTAP19-1",337882,"21",31852018,31852663
"484","KRTAP19-2",337969,"21",31859362,31859755
"485","RPAP1",26015,"15",41809374,41836467
"486","VAPB",9217,"20",56964178,57026157
"487","KRTAP19-3",337970,"21",31863782,31864275
"488","KRTAP19-4",337971,"21",31869142,31869451
"489","MTG2",26164,"20",60758085,60778624
"490","KRTAP19-5",337972,"21",31873975,31874435
"491","KCND1",3750,"X",48818639,48827976
"492","KRTAP19-6",337973,"21",31913854,31914183
"493","KRTAP19-7",337974,"21",31933194,31933633
"494","KRTAP22-2",100288287,"21",31962424,31962716
"495","GPANK1",7918,"HSCHR6_MHC_SSTO",31618946,31624007
"496","TIGD4",201798,"4",153690506,153700916
"497","KRTAP6-3",337968,"21",31964759,31965394
"498","SPATA6L",55064,"9",4553386,4666674
"499","",NA,"8",10983980,10987745
"500","KRTAP6-2",337967,"21",31970909,31971219
"501","TBCK",93627,"4",106962756,107242652
"502","KRTAP22-1",337979,"21",31973414,31973612
"503","XRCC6BP1",91419,"HSCHR12_1_CTG2_1",58335324,58351052
"504","KRTAP6-1",337966,"21",31985750,31986249
"505","CABIN1",23523,"22",24407642,24574596
"506","KRTAP20-1",337975,"21",31988750,31989003
"507","KRTAP20-4",NA,"21",31992946,31993169
"508","SLC4A11",83959,"20",3208063,3219836
"509","KRTAP20-2",337976,"21",32007555,32007938
"510","KRTAP20-3",337985,"21",32015183,32015455
"511","KRTAP21-3",100288323,"21",32090843,32091095
"512","ATP10A",57194,"15",25922420,26110317
"513","MTMR9",66036,"8",11141925,11185646
"514","KRTAP21-2",337978,"21",32119112,32119551
"515","MICU2",221154,"13",22066836,22178353
"516","KRTAP21-1",337977,"21",32127439,32127746
"517","KRTAP8-1",337879,"21",32185016,32185570
"518","ADAD1",132612,"4",123300121,123350957
"519","KRTAP11-1",337880,"21",32252966,32253874
"520","KRTAP19-8",728299,"21",32410478,32410795
"521","PRC1",9055,"15",91509270,91538859
"522","LPHN3",23284,"HSCHR4_2_CTG9",62066976,62959961
"523","SEPT6",23157,"X",118749687,118827333
"524","ARFIP1",27236,"4",153701089,153839615
"525","POU4F2",5458,"4",147560045,147563626
"526","COL11A2",1302,"HSCHR6_MHC_MCF",33300827,33330643
"527","PPAPDC2",403313,"9",4662298,4665256
"528","ACAA2",10449,"18",47309869,47340330
"529","APCDD1L",164284,"20",57034157,57090187
"530","FREM3",166752,"4",144498455,144621828
"531","FGF9",2254,"13",22245522,22278637
"532","MGST2",4258,"4",140586922,140661899
"533","PLCXD1",55344,"X",192989,220023
"534","CDC37L1",55664,"9",4679559,4708398
"535","SUSD2",56241,"22",24577227,24585078
"536","KRTAP9-2",83899,"HSCHR17_6_CTG4",39382879,39383883
"537","LDB2",9079,"4",16503164,16900432
"538","",NA,"18",47322163,47363993
"539","KRTAP9-4",85280,"HSCHR17_6_CTG4",39394569,39395535
"540","CSNK1G1",53944,"15",64457716,64648442
"541","TIAM1",7074,"21",32490734,32932290
"542","KRTAP9-9",81870,"HSCHR17_6_CTG4",39400266,39401246
"543","AP4E1",23431,"15",51200869,51298097
"544","SGCG",6445,"13",23755091,23899304
"545","HRH3",11255,"20",60790026,60795323
"546","KRTAP9-6",100507608,"HSCHR17_6_CTG4",39410221,39411523
"547","",NA,"20",57209828,57210772
"548","KRTAP9-7",100505724,"HSCHR17_6_CTG4",39420541,39421579
"549","MAPKAP1",79109,"9",128199672,128469513
"550","KRTAP29-1",100533177,"HSCHR17_6_CTG4",39446708,39447733
"551","TTC29",83894,"4",147627790,147867034
"552","GTPBP6",8225,"X",220025,230886
"553","GRIA2",2891,"4",158125334,158287227
"554","AK3",50808,"9",4711155,4742043
"555","MAML3",55534,"4",140637907,141075338
"556","ATP6V1G3",127124,"HSCHR1_3_CTG31",198503840,198521562
"557","CSNK2B",1460,"HSCHR6_MHC_SSTO",31622960,31631270
"558","FOXH1",8928,"8",145698795,145701718
"559","GYPE",2996,"4",144792020,144826716
"560","CYP2W1",54905,"7",1022835,1029276
"561","",NA,"8",86134675,86157946
"562","",NA,"8",86158524,86162077
"563","PPP2R3B",28227,"X",294698,347690
"564","",NA,"15",64472547,64665980
"565","GABRB3",2562,"15",26788693,27184686
"566","TNFAIP8L3",388121,"15",51348795,51397473
"567","GRIPAP1",56850,"X",48830134,48858675
"568","MYO5B",4645,"18",47349183,47721463
"569","GGT5",2687,"22",24615622,24641110
"570","RPS18",6222,"HSCHR6_MHC_QBL",33168626,33173129
"571","FHDC1",85462,"4",153857504,153900848
"572","KIAA0101",9768,"15",64657193,64679886
