binNumber;chromosome;start;stop;gainloss_fisherPvalue;gainloss_FDR;cnLOHloss_fisherPvalue;cnLOHloss_FDR;cnLOHgain_fisherPvalue;cnLOHgain_FDR;cnLOHamp_fisherPvalue;cnLOHamp_FDR;amploss_fisherPvalue;amploss_FDR;ampgain_fisherPvalue;ampgain_FDR
32;1;31000001;32000000;1;1;1;1;1;1;1;1;1;1;1;1
33;1;32000001;33000000;0.799;1;1;1;1;1;1;1;1;1;1;1
34;1;33000001;34000000;0.798;1;1;1;1;1;1;1;1;1;1;1
35;1;34000001;35000000;0.799;1;1;1;1;1;1;1;1;1;1;1
36;1;35000001;36000000;0.798;1;1;1;1;1;1;1;1;1;1;1
37;1;36000001;37000000;0.798;1;1;1;1;1;1;1;1;1;1;1
38;1;37000001;38000000;0.798;1;1;1;1;1;1;1;1;1;1;1
39;1;38000001;39000000;1;1;1;1;1;1;1;1;1;1;1;1
40;1;39000001;40000000;1;1;1;1;1;1;1;1;1;1;1;1
41;1;40000001;41000000;1;1;1;1;1;1;1;1;1;1;1;1
42;1;41000001;42000000;1;1;1;1;1;1;1;1;1;1;1;1
43;1;42000001;43000000;1;1;1;1;1;1;1;1;1;1;1;1
44;1;43000001;44000000;1;1;1;1;1;1;1;1;1;1;1;1
45;1;44000001;45000000;1;1;1;1;1;1;1;1;1;1;1;1
46;1;45000001;46000000;1;1;1;1;1;1;1;1;1;1;1;1
47;1;46000001;47000000;1;1;1;1;1;1;1;1;1;1;1;1
48;1;47000001;48000000;0.798;1;1;1;1;1;1;1;1;1;1;1
49;1;48000001;49000000;0.343;1;1;1;1;1;1;1;1;1;1;1
50;1;49000001;50000000;0.805;1;1;1;1;1;1;1;1;1;1;1
51;1;50000001;51000000;0.599;1;1;1;1;1;1;1;1;1;1;1
52;1;51000001;52000000;0.441;1;1;1;1;1;1;1;1;1;1;1
53;1;52000001;53000000;0.427;1;1;1;1;1;1;1;1;1;1;1
54;1;53000001;54000000;0.421;1;1;1;1;1;1;1;1;1;1;1
55;1;54000001;55000000;0.441;1;1;1;1;1;1;1;1;1;1;1
56;1;55000001;56000000;0.599;1;1;1;1;1;1;1;1;1;1;1
57;1;56000001;57000000;0.441;1;1;1;1;1;1;1;1;1;1;1
58;1;57000001;58000000;0.791;1;1;1;1;1;1;1;1;1;1;1
59;1;58000001;59000000;0.791;1;1;1;1;1;1;1;1;1;1;1
60;1;59000001;60000000;1;1;1;1;1;1;1;1;1;1;1;1
61;1;60000001;61000000;1;1;1;1;1;1;1;1;1;1;1;1
62;1;61000001;62000000;1;1;1;1;1;1;1;1;1;1;1;1
63;1;62000001;63000000;0.798;1;1;1;1;1;1;1;1;1;1;1
64;1;63000001;64000000;1;1;1;1;1;1;1;1;1;1;1;1
65;1;64000001;65000000;0.306;1;1;1;1;1;1;1;1;1;1;1
66;1;65000001;66000000;0.613;1;1;1;1;1;1;1;1;1;1;1
67;1;66000001;67000000;0.618;1;1;1;1;1;1;1;1;1;1;1
68;1;67000001;68000000;0.804;1;1;1;1;1;1;1;1;1;1;1
69;1;68000001;69000000;0.814;1;1;1;1;1;1;1;1;1;1;1
70;1;69000001;70000000;0.646;1;1;1;1;1;1;1;1;1;1;1
71;1;70000001;71000000;0.377;1;1;1;1;1;1;1;1;1;1;1
72;1;71000001;72000000;0.659;1;1;1;1;1;1;1;1;1;1;1
73;1;72000001;73000000;0.391;1;1;1;1;1;1;1;1;1;1;1
74;1;73000001;74000000;0.828;1;1;1;1;1;1;1;1;1;1;1
75;1;74000001;75000000;0.827;1;1;1;1;1;1;1;1;1;1;1
76;1;75000001;76000000;0.827;1;1;1;1;1;1;1;1;1;1;1
77;1;76000001;77000000;1;1;1;1;1;1;1;1;1;1;1;1
78;1;77000001;78000000;1;1;1;1;1;1;1;1;1;1;1;1
79;1;78000001;79000000;1;1;1;1;1;1;1;1;1;1;1;1
80;1;79000001;80000000;1;1;1;1;1;1;1;1;1;1;1;1
81;1;80000001;81000000;0.657;1;1;1;1;1;1;1;1;1;1;1
82;1;81000001;82000000;0.82;1;1;1;1;1;1;1;1;1;1;1
83;1;82000001;83000000;0.495;1;1;1;1;1;1;1;1;1;1;1
84;1;83000001;84000000;0.641;1;1;1;1;1;1;1;1;1;1;1
85;1;84000001;85000000;0.641;1;1;1;1;1;1;1;1;1;1;1
86;1;85000001;86000000;0.642;1;1;1;1;1;1;1;1;1;1;1
87;1;86000001;87000000;0.811;1;1;1;1;1;1;1;1;1;1;1
88;1;87000001;88000000;0.811;1;1;1;1;1;1;1;1;1;1;1
89;1;88000001;89000000;1;1;1;1;1;1;1;1;1;1;1;1
90;1;89000001;90000000;0.811;1;1;1;1;1;1;1;1;1;1;1
91;1;90000001;91000000;1;1;1;1;1;1;1;1;1;1;1;1
92;1;91000001;92000000;1;1;1;1;1;1;1;1;1;1;1;1
93;1;92000001;93000000;0.622;1;1;1;1;1;1;1;1;1;1;1
94;1;93000001;94000000;0.622;1;1;1;1;1;1;1;1;1;1;1
95;1;94000001;95000000;0.473;1;1;1;1;1;1;1;1;1;1;1
96;1;95000001;96000000;0.473;1;1;1;1;1;1;1;1;1;1;1
97;1;96000001;97000000;0.642;1;1;1;1;1;1;1;1;1;1;1
98;1;97000001;98000000;0.811;1;1;1;1;1;1;1;1;1;1;1
99;1;98000001;99000000;0.811;1;1;1;1;1;1;1;1;1;1;1
100;1;99000001;100000000;0.641;1;1;1;1;1;1;1;1;1;1;1
101;1;100000001;101000000;0.495;1;1;1;1;1;1;1;1;1;1;1
102;1;101000001;102000000;0.494;1;1;1;1;1;1;1;1;1;1;1
103;1;102000001;103000000;0.371;1;1;1;1;1;1;1;1;1;1;1
104;1;103000001;104000000;0.275;1;1;1;1;1;1;1;1;1;1;1
105;1;104000001;105000000;0.275;1;1;1;1;1;1;1;1;1;1;1
106;1;105000001;106000000;0.372;1;1;1;1;1;1;1;1;1;1;1
107;1;106000001;107000000;0.642;1;1;1;1;1;1;1;1;1;1;1
108;1;107000001;108000000;0.642;1;1;1;1;1;1;1;1;1;1;1
109;1;108000001;109000000;0.811;1;1;1;1;1;1;1;1;1;1;1
110;1;109000001;110000000;0.811;1;1;1;1;1;1;1;1;1;1;1
111;1;110000001;111000000;0.811;1;1;1;1;1;1;1;1;1;1;1
112;1;111000001;112000000;0.811;1;1;1;1;1;1;1;1;1;1;1
113;1;112000001;113000000;0.811;1;1;1;1;1;1;1;1;1;1;1
114;1;113000001;114000000;0.811;1;1;1;1;1;1;1;1;1;1;1
115;1;114000001;115000000;0.811;1;1;1;1;1;1;1;1;1;1;1
116;1;115000001;116000000;1;1;1;1;1;1;1;1;1;1;1;1
117;1;116000001;117000000;0.799;1;1;1;1;1;1;1;1;1;1;1
118;1;117000001;118000000;1;1;1;1;1;1;1;1;1;1;1;1
119;1;118000001;119000000;1;1;1;1;1;1;1;1;1;1;1;1
120;1;119000001;120000000;0.773;1;1;1;1;1;1;1;1;1;0.553;0.9854
121;1;120000001;121000000;0.769;1;1;1;1;1;1;1;1;1;0.552;0.9854
122;1;121000001;122000000;0.769;1;1;1;1;1;1;1;1;1;0.552;0.9854
123;1;122000001;123000000;1;1;0.561;1;1;1;1;1;0.325;0.7979;0.203;0.7177
124;1;123000001;124000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
125;1;124000001;125000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
126;1;125000001;126000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
127;1;126000001;127000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
128;1;127000001;128000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
129;1;128000001;129000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
130;1;129000001;130000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
131;1;130000001;131000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
132;1;131000001;132000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
133;1;132000001;133000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
134;1;133000001;134000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
135;1;134000001;135000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
136;1;135000001;136000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
137;1;136000001;137000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
138;1;137000001;138000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
139;1;138000001;139000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
140;1;139000001;140000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
141;1;140000001;141000000;1;1;1;1;1;1;1;1;0.357;0.806;0.398;0.8239
142;1;141000001;142000000;1;1;1;1;0.609;1;1;1;0.336;0.8032;0.199;0.7114
143;1;142000001;143000000;1;1;1;1;0.607;1;1;1;0.342;0.8048;0.198;0.7114
144;1;143000001;144000000;1;1;1;1;0.606;1;1;1;0.347;0.806;0.196;0.7112
145;1;144000001;145000000;1;1;0.488;1;0.475;1;1;1;0.627;0.9963;0.658;1
146;1;145000001;146000000;1;1;0.488;1;0.477;1;1;1;1;1;0.681;1
147;1;146000001;147000000;1;1;0.488;1;0.449;1;1;1;0.387;0.8537;0.112;0.5911
148;1;147000001;148000000;1;1;0.525;1;0.486;1;1;1;0.204;0.6828;0.077;0.5155
149;1;148000001;149000000;1;1;0.525;1;0.486;1;1;1;0.204;0.6828;0.077;0.5155
150;1;149000001;150000000;1;1;0.548;1;0.527;1;1;1;0.22;0.7008;0.102;0.5597
151;1;150000001;151000000;0.708;1;0.204;0.9932;0.259;1;1;1;0.291;0.7651;0.215;0.7389
152;1;151000001;152000000;0.71;1;0.176;0.9605;0.23;1;1;1;0.285;0.7645;0.194;0.7111
153;1;152000001;153000000;0.71;1;0.176;0.9605;0.23;1;1;1;0.285;0.7645;0.194;0.7111
154;1;153000001;154000000;0.712;1;0.169;0.9472;0.23;1;1;1;0.132;0.6416;0.175;0.7012
155;1;154000001;155000000;1;1;1;1;0.551;1;0.626;1;0.184;0.6803;0.048;0.4
156;1;155000001;156000000;1;1;1;1;0.519;1;1;1;0.207;0.6842;0.066;0.4856
157;1;156000001;157000000;1;1;1;1;0.52;1;1;1;0.219;0.6998;0.076;0.5123
158;1;157000001;158000000;0.707;1;0.163;0.9279;0.196;0.9807;1;1;0.121;0.6409;0.133;0.6421
159;1;158000001;159000000;0.707;1;0.163;0.9279;0.196;0.9807;1;1;0.121;0.6409;0.133;0.6421
160;1;159000001;160000000;0.706;1;0.178;0.9605;0.194;0.9774;1;1;0.135;0.6416;0.131;0.64
161;1;160000001;161000000;0.707;1;0.479;1;0.579;1;0.624;1;0.121;0.6409;0.125;0.6201
162;1;161000001;162000000;0.706;1;0.462;1;0.544;1;1;1;0.144;0.6497;0.142;0.6592
163;1;162000001;163000000;0.706;1;0.515;1;0.609;1;0.605;1;0.114;0.634;0.107;0.572
164;1;163000001;164000000;0.707;1;0.501;1;0.577;1;0.624;1;0.137;0.6416;0.123;0.6176
165;1;164000001;165000000;0.237;1;0.083;0.6523;0.203;1;1;1;0.043;0.4273;0.105;0.5665
166;1;165000001;166000000;0.707;1;0.462;1;0.528;1;0.621;1;0.06;0.5059;0.036;0.3243
167;1;166000001;167000000;0.237;1;0.074;0.6093;0.206;1;1;1;0.042;0.4262;0.124;0.6183
168;1;167000001;168000000;0.237;1;0.074;0.6093;0.207;1;1;1;0.048;0.4507;0.143;0.6606
169;1;168000001;169000000;0.237;1;0.074;0.6093;0.207;1;1;1;0.048;0.4507;0.143;0.6606
170;1;169000001;170000000;0.236;1;0.078;0.6197;0.206;1;1;1;0.051;0.4638;0.142;0.6592
171;1;170000001;171000000;0.237;1;0.074;0.6093;0.207;1;1;1;0.048;0.4507;0.143;0.6606
172;1;171000001;172000000;0.237;1;0.263;1;0.544;1;0.621;1;0.016;0.2515;0.041;0.3604
173;1;172000001;173000000;0.237;1;0.074;0.6093;0.205;1;1;1;0.037;0.3963;0.106;0.5698
174;1;173000001;174000000;0.706;1;0.17;0.9473;0.193;0.9774;1;1;0.101;0.6047;0.098;0.5538
175;1;174000001;175000000;0.709;1;0.156;0.9226;0.194;0.9774;1;1;0.078;0.5295;0.084;0.5281
176;1;175000001;176000000;0.709;1;0.156;0.9226;0.194;0.9774;1;1;0.078;0.5295;0.084;0.5281
177;1;176000001;177000000;0.709;1;0.163;0.9279;0.207;1;1;1;0.224;0.7041;0.293;0.7717
178;1;177000001;178000000;0.712;1;0.176;0.9605;0.238;1;1;1;0.216;0.6956;0.296;0.7754
179;1;178000001;179000000;0.712;1;0.156;0.9226;0.209;1;1;1;0.235;0.7124;0.325;0.7905
180;1;179000001;180000000;0.71;1;0.163;0.9279;0.208;1;1;1;0.244;0.7208;0.323;0.7905
181;1;180000001;181000000;0.71;1;0.184;0.9657;0.238;1;1;1;0.244;0.7208;0.325;0.7905
182;1;181000001;182000000;0.489;1;0.162;0.9279;0.242;1;1;1;0.218;0.699;0.329;0.7975
183;1;182000001;183000000;0.49;1;0.15;0.9226;0.243;1;1;1;0.186;0.6803;0.302;0.7789
184;1;183000001;184000000;0.49;1;0.132;0.8716;0.214;1;1;1;0.221;0.7008;0.361;0.8144
185;1;184000001;185000000;0.492;1;0.127;0.8502;0.216;1;1;1;0.213;0.6898;0.362;0.8153
186;1;185000001;186000000;0.333;1;0.114;0.785;0.218;1;1;1;0.177;0.6789;0.337;0.8061
187;1;186000001;187000000;0.223;1;0.308;1;0.54;1;1;1;0.151;0.6577;0.361;0.8144
188;1;187000001;188000000;0.224;1;0.268;1;0.502;1;1;1;0.138;0.6416;0.364;0.8167
189;1;188000001;189000000;0.147;1;0.232;1;0.46;1;1;1;0.143;0.6472;0.633;1
190;1;189000001;190000000;0.147;1;1;1;1;1;1;1;0.131;0.6416;0.629;1
191;1;190000001;191000000;0.148;1;1;1;1;1;1;1;0.152;0.66;0.638;1
192;1;191000001;192000000;0.147;1;0.208;1;0.421;1;0.5;1;0.417;0.8926;1;1
193;1;192000001;193000000;0.147;1;1;1;1;1;1;1;0.105;0.6147;0.316;0.7905
194;1;193000001;194000000;0.552;1;1;1;1;1;0.521;1;0.065;0.5236;0.102;0.5597
195;1;194000001;195000000;0.148;1;1;1;1;1;0.529;1;0.096;0.5945;0.28;0.7663
196;1;195000001;196000000;0.224;1;1;1;1;1;0.517;1;0.028;0.3475;0.092;0.5538
197;1;196000001;197000000;0.222;1;0.249;1;0.453;1;1;1;0.133;0.6416;0.327;0.794
198;1;197000001;198000000;0.335;1;0.237;1;0.4;1;1;1;0.166;0.6747;0.351;0.8134
199;1;198000001;199000000;0.49;1;0.356;1;0.483;1;1;1;0.208;0.6851;0.31;0.7857
200;1;199000001;200000000;0.707;1;0.41;1;0.465;1;1;1;0.286;0.7645;0.158;0.6896
201;1;200000001;201000000;0.707;1;0.443;1;0.505;1;1;1;0.282;0.7645;0.14;0.6551
202;1;201000001;202000000;0.707;1;0.443;1;0.506;1;1;1;0.286;0.7645;0.159;0.6896
203;1;202000001;203000000;0.707;1;0.443;1;0.506;1;1;1;0.286;0.7645;0.159;0.6896
204;1;203000001;204000000;1;1;0.421;1;0.465;1;1;1;0.295;0.7672;0.177;0.7012
205;1;204000001;205000000;1;1;0.465;1;0.502;1;1;1;0.281;0.7645;0.12;0.6131
206;1;205000001;206000000;1;1;0.477;1;0.502;1;1;1;0.29;0.7645;0.137;0.6474
207;1;206000001;207000000;1;1;0.477;1;0.502;1;1;1;0.29;0.7645;0.137;0.6474
208;1;207000001;208000000;1;1;0.477;1;0.502;1;1;1;0.29;0.7645;0.137;0.6474
209;1;208000001;209000000;1;1;0.477;1;0.502;1;1;1;0.29;0.7645;0.137;0.6474
210;1;209000001;210000000;1;1;0.465;1;0.503;1;1;1;0.286;0.7645;0.138;0.6489
211;1;210000001;211000000;1;1;0.477;1;0.502;1;1;1;0.29;0.7645;0.137;0.6474
212;1;211000001;212000000;1;1;0.465;1;0.503;1;1;1;0.286;0.7645;0.138;0.6489
213;1;212000001;213000000;1;1;0.465;1;0.503;1;1;1;0.286;0.7645;0.138;0.6489
214;1;213000001;214000000;1;1;0.421;1;0.462;1;1;1;0.146;0.6526;0.12;0.6131
215;1;214000001;215000000;0.706;1;0.4;1;0.464;1;1;1;0.129;0.6416;0.121;0.6161
216;1;215000001;216000000;0.713;1;0.413;1;0.534;1;1;1;0.518;0.981;1;1
217;1;216000001;217000000;0.712;1;0.372;1;0.48;1;1;1;0.224;0.7041;0.307;0.785
218;1;217000001;218000000;0.711;1;0.116;0.7912;0.15;0.8624;1;1;0.216;0.6956;0.292;0.7705
219;1;218000001;219000000;0.708;1;0.127;0.8502;0.148;0.8624;1;1;0.234;0.7123;0.289;0.7701
220;1;219000001;220000000;0.707;1;0.134;0.8768;0.147;0.8588;1;1;0.243;0.7208;0.288;0.7701
221;1;220000001;221000000;0.706;1;0.141;0.9122;0.146;0.8547;1;1;0.254;0.7309;0.287;0.7699
222;1;221000001;222000000;0.706;1;0.141;0.9122;0.146;0.8547;1;1;0.254;0.7309;0.287;0.7699
223;1;222000001;223000000;1;1;0.181;0.9605;0.174;0.9267;1;1;0.543;0.9926;0.315;0.7901
224;1;223000001;224000000;1;1;0.156;0.9226;0.146;0.8547;0.602;1;0.547;0.9931;0.343;0.8101
225;1;224000001;225000000;0.394;1;0.068;0.6007;0.155;0.8659;0.602;1;0.154;0.6628;0.359;0.8144
226;1;225000001;226000000;0.237;1;0.064;0.599;0.156;0.8659;0.602;1;0.146;0.6526;0.361;0.8144
227;1;226000001;227000000;0.237;1;0.076;0.6105;0.185;0.9605;1;1;0.135;0.6416;0.332;0.8001
228;1;227000001;228000000;0.237;1;0.076;0.6105;0.185;0.9605;1;1;0.135;0.6416;0.332;0.8001
229;1;228000001;229000000;0.237;1;0.057;0.5784;0.157;0.8682;0.615;1;0.122;0.6416;0.333;0.8016
230;1;229000001;230000000;0.237;1;0.061;0.594;0.156;0.8659;0.615;1;0.128;0.6416;0.332;0.8001
231;1;230000001;231000000;0.236;1;0.061;0.594;0.158;0.872;0.591;1;0.151;0.6577;0.632;1
232;1;231000001;232000000;0.237;1;0.047;0.5289;0.13;0.812;0.57;1;0.144;0.6497;0.632;1
233;1;232000001;233000000;0.239;1;0.044;0.5152;0.13;0.812;0.57;1;0.137;0.6416;0.633;1
234;1;233000001;234000000;0.248;1;0.189;0.9795;0.439;1;1;1;0.047;0.4501;0.175;0.7012
235;1;234000001;235000000;0.147;1;0.184;0.9657;0.453;1;1;1;0.121;0.6409;0.64;1
236;1;235000001;236000000;0.153;1;0.153;0.9226;1;1;0.546;1;0.037;0.3963;0.193;0.7111
237;1;236000001;237000000;1;1;0.413;1;0.43;1;1;1;0.575;0.9931;0.356;0.8144
238;1;237000001;238000000;0.751;1;0.384;1;0.433;1;1;1;0.289;0.7645;0.332;0.8001
239;1;238000001;239000000;0.752;1;0.377;1;0.435;1;1;1;0.281;0.7645;0.334;0.8016
240;1;239000001;240000000;0.754;1;0.377;1;0.449;1;1;1;1;1;1;1
241;1;240000001;241000000;0.551;1;0.394;1;0.498;1;1;1;1;1;1;1
242;1;241000001;242000000;1;1;0.484;1;0.484;1;1;1;1;1;1;1
243;1;242000001;243000000;1;1;0.484;1;0.483;1;1;1;1;1;1;1
244;1;243000001;244000000;1;1;0.484;1;0.484;1;1;1;1;1;1;1
245;1;244000001;245000000;0.551;1;0.388;1;0.5;1;1;1;1;1;1;1
246;1;245000001;246000000;0.55;1;0.382;1;0.487;1;1;1;0.265;0.7447;0.374;0.8206
247;1;246000001;247000000;0.552;1;0.394;1;0.486;1;1;1;0.3;0.7733;0.635;1
248;1;247000001;248000000;0.754;1;0.401;1;0.484;1;1;1;0.308;0.7853;0.634;1
249;1;248000001;249000000;0.118;1;0.118;0.8011;0.118;0.755;0.118;1;0.118;0.6409;0.118;0.6113
250;1;249000001;250000000;1;1;0.353;1;0.287;1;1;1;0.024;0.3321;0.004;0.1215
251;2;1;1000000;1;1;0.347;1;0.287;1;1;1;0.017;0.2601;0.003;0.1188
252;2;1000001;2000000;1;1;0.33;1;0.289;1;1;1;0.014;0.23;0.003;0.1188
253;2;2000001;3000000;1;1;0.325;1;0.289;1;1;1;0.01;0.1819;0.002;0.0964
254;2;3000001;4000000;1;1;0.367;1;0.337;1;0.605;1;0.007;0.1426;0.002;0.0964
255;2;4000001;5000000;1;1;0.379;1;0.336;1;0.613;1;0.01;0.1819;0.002;0.0964
256;2;5000001;6000000;1;1;0.379;1;0.335;1;0.605;1;0.008;0.1563;0.001;0.0536
257;2;6000001;7000000;1;1;0.379;1;0.335;1;0.605;1;0.008;0.1563;0.001;0.0536
258;2;7000001;8000000;1;1;0.391;1;0.333;1;0.605;1;0.009;0.1668;0.001;0.0536
259;2;8000001;9000000;1;1;0.391;1;0.333;1;0.605;1;0.009;0.1668;0.001;0.0536
260;2;9000001;10000000;1;1;0.418;1;0.343;1;1;1;0.043;0.4273;0.011;0.1427
261;2;10000001;11000000;0.742;1;0.432;1;0.342;1;1;1;0.061;0.5099;0.015;0.1708
262;2;11000001;12000000;0.746;1;0.425;1;0.342;1;1;1;0.046;0.4479;0.011;0.1427
263;2;12000001;13000000;1;1;0.418;1;0.344;1;1;1;0.054;0.4732;0.015;0.1708
264;2;13000001;14000000;1;1;0.418;1;0.344;1;1;1;0.054;0.4732;0.015;0.1708
265;2;14000001;15000000;0.741;1;0.432;1;0.341;1;1;1;0.049;0.4527;0.011;0.1427
266;2;15000001;16000000;0.736;1;0.44;1;0.34;1;1;1;0.053;0.4673;0.011;0.1427
267;2;16000001;17000000;0.732;1;0.448;1;0.341;1;1;1;0.084;0.5572;0.018;0.1914
268;2;17000001;18000000;0.295;1;0.538;1;0.325;1;1;1;0.189;0.6826;0.012;0.1536
269;2;18000001;19000000;0.286;1;0.547;1;0.325;1;1;1;0.207;0.6842;0.015;0.1708
270;2;19000001;20000000;0.719;1;0.474;1;0.339;1;1;1;0.182;0.6803;0.023;0.231
271;2;20000001;21000000;0.715;1;0.483;1;0.338;1;1;1;0.176;0.6789;0.018;0.1914
272;2;21000001;22000000;0.718;1;0.474;1;0.338;1;1;1;0.085;0.5625;0.014;0.168
273;2;22000001;23000000;1;1;0.394;1;0.351;1;1;1;0.062;0.5132;0.02;0.2073
274;2;23000001;24000000;0.707;1;0.339;1;0.407;1;0.624;1;0.027;0.3475;0.018;0.1914
275;2;24000001;25000000;0.707;1;0.339;1;0.407;1;0.624;1;0.027;0.3475;0.018;0.1914
276;2;25000001;26000000;0.706;1;0.347;1;0.407;1;1;1;0.036;0.3914;0.023;0.231
277;2;26000001;27000000;0.707;1;0.372;1;0.45;1;0.613;1;0.027;0.3475;0.018;0.1914
278;2;27000001;28000000;0.708;1;0.331;1;0.409;1;1;1;0.03;0.357;0.023;0.231
279;2;28000001;29000000;1;1;0.498;1;0.437;1;0.621;1;0.072;0.5295;0.02;0.2073
280;2;29000001;30000000;1;1;0.448;1;0.395;1;1;1;0.067;0.5295;0.02;0.2073
281;2;30000001;31000000;1;1;0.43;1;0.396;1;0.624;1;0.048;0.4507;0.016;0.1793
282;2;31000001;32000000;0.727;1;0.505;1;0.384;1;0.624;1;0.075;0.5295;0.014;0.168
283;2;32000001;33000000;0.34;1;0.577;1;0.364;1;1;1;0.198;0.6828;0.015;0.1708
284;2;33000001;34000000;0.349;1;0.562;1;0.366;1;1;1;0.194;0.6828;0.015;0.1708
285;2;34000001;35000000;0.36;1;0.548;1;0.367;1;0.624;1;0.087;0.5667;0.012;0.1536
286;2;35000001;36000000;0.207;1;1;1;0.361;1;1;1;0.204;0.6828;0.015;0.1708
287;2;36000001;37000000;0.197;1;1;1;0.359;1;0.624;1;0.195;0.6828;0.011;0.1427
288;2;37000001;38000000;0.187;1;1;1;0.356;1;0.603;1;0.087;0.5667;0.006;0.1281
289;2;38000001;39000000;0.51;1;0.538;1;0.374;1;0.613;1;0.07;0.5295;0.01;0.139
290;2;39000001;40000000;0.511;1;0.538;1;0.376;1;1;1;0.184;0.6803;0.017;0.1876
291;2;40000001;41000000;0.743;1;0.48;1;0.388;1;1;1;0.074;0.5295;0.019;0.2005
292;2;41000001;42000000;0.489;1;0.278;1;0.404;1;0.621;1;0.006;0.1426;0.006;0.1281
293;2;42000001;43000000;0.502;1;0.538;1;0.361;1;0.629;1;0.1;0.6;0.004;0.1215
294;2;43000001;44000000;0.502;1;1;1;0.401;1;0.621;1;0.048;0.4507;0.003;0.1188
295;2;44000001;45000000;0.498;1;1;1;0.399;1;0.621;1;0.052;0.4641;0.003;0.1188
296;2;45000001;46000000;0.171;1;1;1;0.418;1;0.364;1;0.116;0.6409;0.003;0.1188
297;2;46000001;47000000;0.326;1;1;1;0.437;1;0.38;1;0.103;0.6067;0.004;0.1215
298;2;47000001;48000000;0.741;1;1;1;0.492;1;0.363;1;0.037;0.3963;0.005;0.1215
299;2;48000001;49000000;1;1;0.507;1;0.463;1;0.38;1;0.024;0.3321;0.006;0.1281
